review_id,user_id,business_id,stars,useful,funny,cool,date
AjFLTLBbVJOuN_JFzSE4OA,kzxwFrLA0fyhP7qKzkRopw,-Or44IdY51Ukd618kikmtA,2,171,6,33,1369844806000
mO5ORZk4nlKLtMI0PHMHtw,G9FNs3NkjdO8dCwnsgmJ2Q,0Kn5W22UmxOqPj2cjouFNA,3,13,17,3,1521833506000
NbT7iIVr8rz6tglE7tYTAg,0EgbVtQfdNQq3Tapxwl_sw,UUOOjXAyk7dBpwTtKCnwyg,2,171,14,31,1303480010000
a5JHzBrWxRd_OmIvV7znDA,mzXDuhZBPdHfMIk1YXP0mQ,KiE0h68HGOO7ZXAqkMBdiw,3,70,21,44,1450655544000
pHwbdway4yeI-dSSmZA7-Q,Ohhrhu1RkqfVciIVx_W5HQ,gyUBYwpUO_u0nqZdre4l1g,2,37,0,15,1487519820000
A-AIvNIGCwUplBhjd2OMhg,6Mhbp06FEhD9uxUGCCUmKA,IfcJZKQiBKf_9yq784qbww,5,0,98,15,1340722060000
pgESDcC7eDx4z_epqon4_Q,j6auVeGydK6FavvcyHu_Zw,vCHNWdW-ys-nWUx3Cpvk8Q,4,15,20,32,1465678640000
H4mSxGeKTv4VFcc9YUmtpQ,clWLI5OZP2ad25ugMVI8gg,lj-E32x9_FA7GmUrBGBEWg,4,38,6,9,1420335779000
rV6AWGN4rYORMQY8dVP41g,2_RUpJjj9GcuCr3G-8kk5w,tFh0DrDMTom4B3pHpDpRNQ,1,48,2,15,1460395985000
L7Z2Re-8aFOZFhfMZbt44A,4mbLmbA-thaDIZTlgxsaCQ,wUnLSg_GKfEIQ5CQQ770_g,1,54,19,18,1467576877000
QHNTGvt6_JBe3RBQ3YLwSQ,Ivs--Rfty8hpZ-Jf63D6AQ,oBhJuukGRqPVvYBfTkhuZA,1,20,23,14,1485567488000
Dkv4YJVG3vOg12i3GJxc-g,2Pqs3nedztBqwQE7zO5yiQ,GV-e7Op4aU98xkjjoKlRhA,1,33,39,4,1338263468000
