business_id,name,city,stars,review_count,is_open,categories0,categories1,categories2,categories3,categories4
yrfznijutqtfppasdyrttt0,ykyavovnfsumtcyivskkeokqyndepgzzdjegokfgxnlntegfdevcbjrvbdttivi0,Boise,1.5,14,1,Medical Centers, Nightlife, General Dentistry, Pest Control, Asian Fusion
ohabjzakuxdlsxcaaevfgi1,nntsgfwjpaorjkpydbmufwjbynjqnfjidrwrmkcpdgeorfjxnwuaezykmahgeyf1,Wilmington,5.0,97,1,Heating & Air Conditioning/HVAC, Restaurants, Shopping, Fast Food, Appliances & Repair
urpejkybbhjzdgxlosaodv2,oeliikqwarpjftteerhschlvszbgkrkrptsyzeebkjtoluicdiptypirfvwdbby2,Spring Hill,4.5,87,1,Shopping, Barbers, American (Traditional), American (Traditional), Ophthalmologists
mzkulegepudmeuiopudxpn3,njueubcypmfyzipyhnjvhdpnpzrltduhjdkhfidaauidzlcznjzsuwiqifhvpcu3,Wesley Chapel,3.5,6,1,Coffee & Tea, Fast Food, Food, Local Flavor, Breakfast & Brunch
vvqrfjdafarsecqdcknqhv4,fipadbazckhgjqntburadyiagmskazafjpkjnbrmcvowkxsmsbpmqwcugcnduoj4,Waterloo,4.0,10,1,Mexican, Local Services, Used, Health & Medical, Juice Bars & Smoothies
jakslxczcddsodursojbek5,hzwzngfuzpiwsxcgmprrcjdvkfqfkherjksqusshixcxtvzngrllwfwfwiiuddu5,Philadelphia,3.0,12,1,Chiropractors, Food, Gold Buyers, Home & Garden, Fashion
wlilctqawagtoktyinycdc6,mnmdjpsdzctdmjzwrfwbdpvystoaezyepsyggvzyraiaeiupwgjihfmmxkdyxir6,Saint Louis,3.0,6,1,Food, Hair Extensions, Vintage & Consignment, Waxing, Food
lnqiiticyudmoaednlwnzn7,dquwzoddevmiquzrnzdnqnahpzzcezbvlglfwnrtyoalsekvgmfsialvmpknmvc7,Indianapolis,1.5,18,1,Fashion, Convenience Stores, Home Services, Tires, Passport & Visa Services
lyqyvozqzwvtbiaezgvnhy8,amccampufcjpwytziuzarljahqzuzcmdzvjxtrzayybvkekinmmebfcehviupfg8,Tucson,5.0,5,1,Food, Local Flavor, Apartments, Music Venues, Restaurants
ypjsiwplgpzbwmyydspdkm9,ysopffcsxeezvmncpuadrzeqzaovcviapiyysysgkyowmigfltywstxbabrkxjm9,Indianapolis,4.5,116,1,Fitness & Instruction, American (New), Food, DJs, Transportation
gdwfxlaliukwlfpictzxvt10,vevemnwpkexpijzxzmhuhvjotazjgpmlvyhwlslbrmdpisoeyfzkgirfygkpndj10,Saint Petersburg,5.0,16,1,Educational Services, Restaurants, Restaurants, Car Brokers, Venues & Event Spaces
ouvddhjjjxdosmdjknhhvb11,dxukahjkqklbxrstljkxcdumuewukrobwnyxoqkaqhisyamjqbkhppdplgdlaas11,Saint Louis,4.5,24,0,Food, Italian, Plumbing, Contractors, Restaurants
mccybfiealcfvqibrqdyiu12,ghwfwyjipekmvqumnotjrccebrjiwgiaphsglkgycxsxzbwpnjmfprkkmvbjwbt12,Gretna,4.0,5,0,Venues & Event Spaces, Auto Repair, Food, Movers, Bars
eqzdhdsrbsrucffmmvcpvh13,xedfnlkbumwngvvzonemnvludivbsvolgaswruuujpkmvtzfoknkapzkydlrcdf13,Florissant,2.0,6,1,Cuban, Plastic Surgeons, Fast Food, Restaurants, Sandwiches
hlwrghsltrjovjzsajlrja14,hrvfazkllfgnxnjpxpppqjigkwzqenzsjexijfdilfvfswqnaljxlakclkugxbo14,New Port Richey,3.0,33,1,Barbers, Home Services, Food, Sporting Goods, Auto Repair
wqkeyudtiyoxatihxnryux15,hytwdrwbdpawsfxtjputrcngixrbglrylwfmqvnjsrgywkonbdifliozxirpomq15,Tucson,4.5,46,1,Specialty Food, Coffee & Tea, Shopping, Boudoir Photography, Food
alezakowusewdthinfaipp16,chhbfidzdopcwtkgkkfjxxvwgfcqietsbcfilnuzssibevxkeurtowzosccnhfl16,Cherry Hill,4.5,10,1,Tires, Restaurants, Art Classes, Burgers, Fast Food
vlehnkuortdjsvctvlxsnx17,chzewnqcwillyzfpnlxjbnyrrtfbflmasoonqdqztqroyfislfcfqkhjdfnrrjg17,Feasterville,2.0,19,0,German, Sporting Goods, Restaurants, Wine Bars, Mexican
bgkvqqdrkjmnzgghinyhqy18,tovqsaomsnfdedpfxgwtrhpnbjpxhccxvfclckpixvksrgxxlzjfzuklpvhmmvz18,Tampa,3.5,39,0,Fashion, Diners, Tires, Optometrists, Tacos
wypzidgrhuzcqysnxyeemr19,ylvfjckqosbhvsyaazevupjexttyeaaftzjucwiawrgjwplmjwfkszxabvwwbhx19,Tampa,4.0,78,0,Tires, Active Life, Breakfast & Brunch, Auto Parts & Supplies, Music Venues
xwzubfzxbtvxtwwhjrjwat20,rpzeeimqcrnubnmqizjaetwwthbsgrhrhtiehpdfeeaprxakicrcolcvmvoztev20,Indianapolis,2.5,17,1,Salad, Shopping Centers, Hair Removal, Solar Installation, Generator Installation/Repair
yeruvqdkbueeqqpknilugj21,ddnagpqjboqlswwkylhyxigrsoxekbiuuqzwagisutbmukywrkpyersxlneuxgy21,Reno,3.5,190,1,Beauty & Spas, Car Rental, Auto Repair, Local Services, Obstetricians & Gynecologists
pdtmsrkcbldmebrahyedfg22,qzztwidulhzcpchbrlnjsmmjuexrxntwvfmikfmquclxiwbdhlstjbnfwlcicvw22,Hazelwood,1.0,8,1,Food, Breweries, Sports Wear, Auto Repair, American (Traditional)
dczibeayntjvfbhiwuhdvm23,cbiqnlbdohbtbuqixvtjqvqxmlwujklcbuftscnxrcgmbhfxkqoirvrmjuctlhi23,Downingtown,3.0,115,1,Mexican, Active Life, Thrift Stores, American (New), Men's Clothing
dguhtafljthvfiloaitgzk24,mzdmtktshoevvlcvleovgxpcmejwjiulfowpctqfiuosqwawehdebxemjpapuct24,Lindenwold,4.0,27,1,Beauty & Spas, Beauty & Spas, Doctors, Traditional Chinese Medicine, Eyelash Service
tcxatoatgbmzsnjezrdcun25,ugvkakvkdzsscupgrlinrkmepwhrfduoieeawtfrehwubthmttclgiawigbrmvg25,Tucson,3.5,40,1,Restaurants, Nightlife, Salad, Coffee & Tea, Nail Salons
zpxejersnnxcdjxwwmpctg26,vcftbxrqepfxlufsotqmmmoznqdwdaclbkookgcuwsinksozmweyaeyuyjagxgt26,Brandon,4.0,421,1,Local Services, Jewelry, Food, Active Life, Mobility Equipment Sales & Services
oqpiaklnhgnvpjgvlshbjc27,hvttjalczsqltjovivsniksaetsdnjucrjmudensvywivdxkepunjlbbqcmlzkt27,Philadelphia,4.5,5,1,Body Shops, Laundry Services, Cardio Classes, Midwives, Head Shops
sofwesosbmajqcitkqyyba28,flnxchnxlhfohgmhvsrtllfwvyipxjtobnbpsjpraphozalgdaarwrpjrlzocfp28,Tucson,4.5,148,1,Automotive, Beauty & Spas, Apartments, Jewelry, Mexican
fycpdofltygugtgcgffnje29,vrwoukeosjrbheqacjrxculfsxmegwpqqynlxoxteenazykvfgqjoovrzujksud29,Nashville,4.0,8,1,Home Services, Caterers, Men's Hair Salons, Italian, Sandwiches
wnvrdntizvnfwqzoxfbfgm30,jslfkmowgnkkagxjpyetlookqxvwqhmhjzbjvrsbtedtelpzxbstvucshyxlhod30,Tampa,2.0,10,1,Food, Breakfast & Brunch, Professional Services, Food, Endodontists
kwoihnfpkdkszzdosferfy31,lacbcxiydvdrdfedojegeuofzghkdezbarqhbgvvbljkfvbdstultygztwupiqd31,Bensalem,4.5,34,1,Food, Auto Repair, Food, Health & Medical, Specialty Food
dfierxybsborhvloqubrmw32,rkakbsmwsoqampkhycdeiihizlbgkrdctfvmfktzvradnctjootguislgbemmrb32,Wesley Chapel,3.5,46,0,Restaurants, Restaurants, Noodles, Pet Training, Desserts
owactxzoslujoamwjsehdq33,rswfgdvyidlcqhrtywyohagavwaqbbewjfbplblvnwgardlnbkirqgowwduqdzu33,Palm Harbor,4.0,10,0,Cosmetics & Beauty Supply, Arcades, Burmese, Health & Medical, Cosmetic Dentists
mfunqnstrhrodkukbxuqks34,ckrpnjrhqrbjrbmuvfzdeeppxnxyjkxvextjoqkvgfmzlpxweftskqloyqumseb34,Carmel,4.5,34,1,Home Services, Imported Food, Burgers, Hotels & Travel, Food
xuqcgjcumjzveejkmibfha35,hwckhfjsapdbvkzmftwlyqjkzpkweahlxkzgvusntzfhygjwrupozujoeavptfy35,Tampa,3.0,39,1,Delis, Seafood, Fast Food, Nightlife, Burgers
