business_id,name,city,stars,review_count,is_open,categories0,categories1,categories2,categories3,categories4
AAAAA,Seminole Hard Rock Hotel & Casino Tampa,Santa Barbara,4.6,18,1,Bakeries, Asian Fusion, Refinishing Services, Shaved Ice, Used Car Dealers
AAAAB,Normandie Golf Club,Plymouth Meeting,4.9,5,1,Nightlife, Home Inspectors, Internet Service Providers, Bakeries, Do-It-Yourself Food
AAAAC,Mister Car Wash,Philadelphia,4.4,5,1,Restaurants, Coffee Roasteries, Laser Hair Removal, Furniture Stores, Recreation Centers
AAAAD,Mr.Smoke,Isla Vista,3.7,6,0,Ophthalmologists, Restaurants, Departments of Motor Vehicles, Dominican, Cocktail Bars
AAAAE,Santa Barbara Cryotherapy,Eagle,2.2,10,1,Museums, Tobacco Shops, Tanning, Szechuan, Obstetricians & Gynecologists
AAAAF,Stoogez,Cherry Hill,4.8,9,0,Auto Loan Providers, Escape Games, Sports Bars, Party & Event Planning, Yoga
AAAAG,Ashley HomeStore,Tucson,4.2,6,0,Towing, Arts & Crafts, Chicken Wings, Air Duct Cleaning, Electronics
AAAAH,Alina Cafe,New Orleans,3.5,21,1,Cupcakes, Auto Repair, Fashion, Salad, Event Planning & Services
AAAAI,Kiwi Yogurt,Clearwater,2.0,80,1,General Dentistry, Fashion, Delis, Sushi Bars, Electronics
AAAAJ,JLI Holiday Mart,Affton,4.9,20,1,Bookstores, Eyebrow Services, Door Sales/Installation, Motorcycle Rental, American (Traditional)
AAAAK,Groove Room Studios,Washington Township,3.3,5,1,Local Flavor, Garage Door Services, Beauty & Spas, Gas Stations, Bookstores
AAAAL,Thulasi,Land O' Lakes,1.0,68,0,Couriers & Delivery Services, Local Services, Health & Medical, Music & Video, Wine Bars
AAAAM,The Outdoor Kitchen Store,New Castle,4.6,5,1,Barbeque, Fishing, Steakhouses, Waxing, Seafood
AAAAN,Castleton HD Ultrasound,Woodstown,3.6,15,1,Department Stores, Trampoline Parks, Diagnostic Services, Cannabis Dispensaries, Gyms
AAAAO,Amaravati Indian Cuisine,Collingdale,4.3,20,1,Massage, Traditional Chinese Medicine, Nightlife, Mailbox Centers, Shopping
AAAAP,Greenwood Park Cinema,Philadelphia,4.7,61,0,Appliances, Beauty & Spas, Sandwiches, Thai, Self Storage
AAAAQ,Green Street Property Management,Kenner,1.7,38,0,Doctors, Filipino, Bubble Tea, Home & Garden, Shopping
AAAAR,Coastal Treasures,Elkins Park,2.6,5,1,Musicians, Roof Inspectors, Laser Eye Surgery/Lasik, Trainers, Makeup Artists
AAAAS,RC Willey,Warson Woods,3.2,10,1,Rheumatologists, Sandwiches, Pet Training, Drugstores, Health & Medical
AAAAT,Mama Doughs Take N Bake Pizza,New Orleans,4.6,7,1,Fruits & Veggies, Dermatologists, Private Investigation, Barbeque, Irish
AAAAU,I Beni Boutique,Greenwood,3.4,6,1,Airport Shuttles, Eyelash Service, Electronics Repair, Local Services, Keys & Locksmiths
AAAAV,Roxy's Yarns,Tampa,2.5,24,1,Gluten-Free, Pressure Washers, Family Practice, RV Dealers, Sports Medicine
AAAAW,Sunrise 2 Authentic Thai Food,Tampa Bay,2.9,11,1,American (Traditional), Kids Activities, Thai, Shopping, Social Clubs
AAAAX,Nola ENT,Bala Cynwyd,4.8,7,0,Seafood, Traditional Chinese Medicine, Notaries, Vitamins & Supplements, Steakhouses
AAAAY,Andre's BBQ and Seafood,Philadelphia,3.8,6,1,Soup, Photographers, Pizza, Auto Parts & Supplies, Specialty Food
