review_id,user_id,business_id,stars,useful,funny,cool,date
a,gi,a,3,0,0,0,1504065528395
b,ll,a,3,2,0,1,1416263556791
c,iI,a,4,1,0,1,1406999143479
d,nB,a,4,1,0,2,1423679027063
e,mZ,b,4,0,0,0,1503524344739
f,fu,b,3,1,0,0,1472890448005
g,if,b,4,2,0,0,1512004251452
h,eZ,b,4,1,0,0,1475097983118
i,qQ,b,4,1,0,0,1455993163052
j,hO,b,4,1,0,0,1475729980083
k,hl,e,3,1,0,0,1372291468684
l,oE,f,3,1,1,1,1349150735491
m,dl,f,3,0,1,1,1473447217655
n,dj,f,4,0,1,0,1418369992806
o,bt,f,5,2,0,1,1356678965119
p,lv,f,4,1,0,1,1325690308448
q,kM,h,3,0,0,1,1409178194771
r,U,h,2,1,0,1,1433065070902
s,fL,h,2,2,0,0,1350112442193
t,aU,h,1,1,0,0,1448770262889
u,np,j,4,0,0,1,1447342759235
v,ob,o,4,2,0,1,1432098211857
w,pq,o,4,2,1,1,1408982779949
x,nW,q,3,0,0,0,1467069443208
y,rK,r,3,2,0,1,1385868724047
z,hv,r,3,0,1,0,1482048456628
A,p,r,2,0,1,0,1471467156840
B,cD,r,3,1,1,0,1417465198023
C,di,u,3,0,0,0,1535334774737
D,dI,v,4,0,0,0,1419245478967
E,gw,w,3,3,1,0,1424891047106
F,rE,x,2,2,0,0,1451902328314
G,hO,x,2,1,0,0,1475285707229
H,ku,y,3,2,0,0,1346477784412
I,qu,y,3,2,1,1,1258596048245
J,iQ,y,4,0,2,1,1343606832421
K,qW,A,3,2,0,1,1400867123178
L,qs,A,4,1,1,0,1446384820616
M,kz,A,4,1,1,0,1381622075686
N,nC,A,4,1,1,0,1476288119271
O,ng,A,4,2,1,1,1478921108687
P,oH,A,4,2,1,0,1427175260392
Q,bL,A,4,0,1,0,1386972189188
R,du,A,4,0,1,0,1451592122954
S,hR,B,4,2,0,1,1436801326944
T,nv,C,4,0,0,0,1457860727814
U,rS,C,4,0,0,0,1459778108787
V,cd,E,5,0,0,0,1463656578112
W,c,E,3,4,0,0,1530072966097
X,jQ,E,5,3,0,1,1488958376218
Y,jT,E,5,1,0,0,1461630227639
Z,si,E,3,4,0,1,1477584347456
aa,iu,E,5,3,0,2,1498993507373
ab,qQ,E,5,1,1,0,1453169618517
ac,aO,G,3,0,0,1,1510229818422
ad,bD,G,4,0,0,0,1459078468084
ae,dZ,G,4,0,0,0,1478882719096
af,lP,H,4,1,0,0,1517051015615
ag,pd,H,3,0,0,0,1517468181657
ah,co,H,3,3,0,0,1465210268042
ai,mS,H,5,2,0,1,1474413960813
aj,lt,H,5,0,0,1,1497379463719
ak,qz,H,4,2,0,0,1442868464243
al,cx,J,3,0,0,0,1358078784369
