"business_id","name","city","stars","review_count","is_open","categories0","categories1","categories2","categories3","categories4"
"SUnBMcxxmQLoMLOreqcZgC","Osborne-Martinez","Trenton",2,10,0,"Jeffrey Jackson","Marissa Garcia","Elizabeth Martinez","Christopher Jones","Dana Thompson"
"yuDsitrHEhWvVGfdWngHjo","King, Smith and Chen","Fairless",2,2,1,"Edward Wilson","Steven Snyder","Cody Bray","Andrew Hansen","Jason Williams"
"uwVZCjnTSnCjKlfcHrBJuJ","Ramirez, Jacobs and Rodriguez","Sun City Center",3,5,1,"Nancy Jackson","Melissa Suarez","Jessica Turner","Karen Weaver","Elizabeth Shaw"
"mJXJlVEWezAxtqpsrACSBI","Wilson-Peters","Milmont Park",2,4,1,"Christopher Murillo","Daniel Ramirez","Bianca Bell","Dr. Jessica Andersen DDS","Meredith Miller"
"OKHKiRNNjBZDvnYPgEeMiG","Mccall, Hoffman and Scott","Greater Northdale",1,2,1,"Mrs. Leslie Douglas","Douglas Ellis","Nicole Mckee","Ricardo Ramirez","Jeanette Stewart"
"FBpLdIAdjtSIARLvXKHuCk","Haley Inc","Harvey",3,3,0,"Matthew Gonzalez","Erica Diaz","Joshua Wilson","John King","Kyle Smith"
"POosZRmnvelKgORCTFHfvh","Williams, Khan and Jensen","Pinellas Park",0,3,1,"Michael Neal","Pamela Rodriguez","Dr. Daniel Griffin DDS","James Wagner","Brenda White"
"KHydysNaGxQQuuDWcdLJZh","Foley, Beard and Mcneil","Harrison Township",5,4,1,"Tyler Ramirez","Jake Doyle","Drew Dominguez","Christina Gonzalez","Zachary Jenkins"
"uQjjlyHYrvNHBnQGFrKMyp","Hoover Group","Haverford",3,7,0,"Cory Johnson","Karen Harris","Charles Phillips MD","Melissa Owen","Dylan Young"
"bxVCxyLVdVAfAWuDcjwhmz","Lewis Group","Media",1,1,1,"Charles Snyder","Cristian Khan","Krista Andrews","Randy Jimenez","Adrian Smith"
"tDSKjHmKmQxFnsXnugeMuO","Lee LLC","Oreland",1,4,0,"Paul Whitehead","Jessica Diaz","Richard Alexander","Kelly Horton","Lauren Thornton"
"AiRKosvaSlTQVRKSuFeGGd","Cox-Stanley","St Ann",3,3,1,"John Wheeler","Christopher Brock","Brandi Holden","Nicole Fox","Andres Davis"
"FRHifdRFKcEdgZRRVYAJtR","Young Group","View",4,1,0,"Patrick Dunn","Jason Parker","Adam Wells","Laura Williamson","Christopher Thomas"
"swxqVaDDhNUmMjisPWqGYX","Mejia-Wright","West Chester",3,6,0,"Sean Alexander","Andrew Williams","Jacob Robinson","Jessica Holland","Linda Brooks"
"eIteMHSzhTpfXEzUujKnSS","Lopez LLC","Madeira Beach",2,1,0,"Douglas Dominguez","David Williams","Angela Kim","Mary Walker","Valerie Dean"
"ZmnPUzMOFuOVZsTtqrIrpi","Rivera, Miles and Rice","Richboro",3,8,0,"Michael Wallace","Kimberly Wright","Daniel Smith","Mr. Timothy Sanchez","Jennifer Dunn"
"DlFQNXFAuocVcyABYgjWAa","Wang PLC","Fairless",0,7,1,"Troy Anthony","Breanna Newman","Raymond Hanson","Andrew Collins","Denise Parrish"
"dOhGwoeoAmGwiEluxbgIRV","Barton, Phillips and Davis","Haddon Township",0,1,1,"Ryan Duncan","Jennifer Johnson","David Bauer","Juan Miller","Shawn Jackson"
"mWGZRSPCSMITVFjVVOekVR","Cline Inc","Tampa Bay",5,4,1,"Christopher Garcia","Monique Martinez","Jacqueline Foster","Darin Freeman","Abigail Jennings"
"hUBYBthhRtvQVvvDbikjnt","Lane, Chaney and Williams","Gretna",3,3,0,"Hannah Barrera","Jimmy Anderson","William Miller","Kyle Rosales","Danielle Baker"
"jHYfGiDHSEJrzDfliwOGBj","Shaw and Sons","Plumsteadville",4,5,0,"Laura Mcgrath","David Zamora","Bridget Wood","Yesenia Carter","Mary Lewis"
"nEoZEJjCODEYOkoSpmzrFx","Cook, Riley and Phillips","Palmyra",5,0,1,"Jessica Sanford","Kathryn Brown","Amber Brown","William Gutierrez","Brandon Freeman"
"YLGhVMWEImbIgKZmFUMplT","Evans-White","East Greenville",0,5,1,"Kevin Hoffman","Craig Morris","Christine Fisher","Rodney Anderson","Steven Hopkins"
"hXomFTzwfHIAdeOBDmfDSK","Patrick, Reilly and White","Drexel",3,10,0,"David Brown","William Sims","John Baker","Richard Moore","Cheryl Patrick"
"vJgUuzFpisNofenIpxnbez","Lewis-Peters","Woolwich Twp",3,6,1,"Jonathan Miller","Christopher Jones","Lisa Villarreal","Amber Elliott","Larry Moore"
"ziNYMzExDaZyTaXDSEZKZb","Jackson, Castillo and Palmer","Odessa",4,6,1,"Jennifer Guerrero","Shannon Foster","Brenda Davis","Patrick Morgan","Angela Santos"
