review_id,user_id,business_id,stars,useful,funny,cool,date
SmbupnlQSsBDAvCFGIdNRl,SZNQczVtheppmhtFqLZXFO,DgOrfQAHlkUhemFcnVjdMB,2,8,4,0,1650835907
DsaWNUUXUpDaNBnxvVVufm,BVzMYhoSDUCZFUfyBvHDDq,FmPrVsWYtZCaLkZeaduYwu,4,0,3,4,1624824606
jVdyyyIQCWpTUwLDEMekgw,ATCXpVcelgJwAUxQNgcwAE,OqjiEWrsSNuaWbptTDzdOu,2,9,4,0,1599494651
blMzfTwwQmnGsrMkWzctFd,UVyQxnXAmfvdcLhKhOurrL,RbpiZWOYeKzezeqBReSqYq,0,8,2,3,1575403712
fYwwVbnlkQuyaILqAAxzqD,tMJiVsDThXpLZogGXAWMqL,ISrtwOxWVrxQhRGRFnWmTT,5,1,4,3,1456633754
QWsByhLdRCYTNMDOcbmjQG,pEvxjlwZoYiniOfshDQnby,QBClfAySMynsCUDVdvBMMk,2,5,3,3,1613092728
iGEMrwXkdBYaMKzJgWMBnh,CoFhrRgwhlcUxYXlUSwHBY,EIkjXDtQqEWGnWTpqyUxFV,2,2,0,2,1668111671
dhBBBqCCxNKFveGiFGOBVN,KvuufCETRNJUFiqddfYcoK,OvswJpJHRxQodJhvTpETwL,3,0,3,2,1654864772
CzaWUrLqaRqcAKzPrjQoEt,itbUnWOlGotdgWGBLzWTfJ,mMuBXYgnmlQTRAUIjQGEjy,0,6,3,1,1648845849
MgswDoXZrfDeReNWnTmRzi,VQOuomeIPdKWVOXsRMXMRW,hnBLjAxBuNlVeRIegDoLJt,4,9,3,0,1662448218
qeNenjZTxQPbRjkauksNAn,DsBuNdVQXUCloJRDJMeysY,CEUmmIYAfYohIcFukoXGim,5,5,2,5,1636335046
YlCmWQDaJehCbGgjiTsJtY,pmSgqFrHENtWeumDXvjPUt,YJPVhlwNBPjPhqhtpEBXTK,5,3,3,1,1562495543
KUDYriikUmAhFPkEXkdUas,IbBOYgCgikGlCaSPTfiGPr,XBCJPgrbHlaLoQNaqQnJZX,0,8,0,4,1649621459
FzLbFYQJopGuAzCeNIVLhj,bwfAaFfAoDZbNbRhpHZChG,gcXitEDhPfHqjOETACAfVR,0,5,1,1,1449431510
NUvcOVaVMNsasmabkWpdKp,bdJzOcJUgfBRqrQaoBioSx,uWwEXqUCwcARQGEhDFjvry,4,3,2,0,1662508282
bCRqqzSzLcKrpaHRBcKYhr,YbqWFFJbYWwSMMwlUQDKOR,DddrQYdEaaxKiqbbtGRkNC,1,8,1,2,1451968104
ROSgpYlYYOBvAfgGbaWYrs,sCTCIbCtCMBgdeFexhpsnx,mssVmRMWjGaOPVNXmBafns,3,0,2,1,1633915412
pHoMdHoSHzEZvfIBIENaWZ,ycTrqQJbrteJQtnMCAKkTJ,FJUjUfLjnPQbEOTXvbCaMt,0,5,0,4,1466355337
pEafLfKNvLsWQxYBFnesjs,XVbrUdCTqglfAJriCBPbCA,tfjbAfsVVRHNaUEcSEPkdR,3,6,1,0,1629996626
BAZBNvWhFeJSdirYzEzjYt,GsqyrnLHqbrObAfdZebPxt,mvgeKwJYfbEDCcGnoTGVRR,0,0,2,4,1557541511
HrELfZmnfRphpYQzHQCKzU,MOYzUGMTHWhwUmNcRyksKq,yDzGVxKsMwxqaLIuAuAcPV,3,0,0,1,1639364999
xHWgJkmlmVKfasXcBHzqga,LUOWAvkgKglHlUjpTftrDN,rgmjpwuSYhcCFdoqHmLoOS,1,5,4,2,1496506665
